物件名,住所,交通,築年数,部屋名,賃料,敷金,礼金,占有面積,間取り,所在階,向き,画像
ロイヤルパークスタワー南千住,東京都荒川区南千住4丁目7番3号,JR常磐線(上野～取手) 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"21.9万円(13,000円)",1ヶ月,1ヶ月,49.3m²,1LDK,11階,東,/img/?image=https%3A%2F%2Fimage1.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F121222%252Frent%252F225972%252F1%252F2%252Fyo86.jpg&width=100&height=100
ロイヤルパークスタワー南千住,東京都荒川区南千住4丁目7番3号,JR常磐線(上野～取手) 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"22.1万円(13,000円)",0.5ヶ月,0.5ヶ月,51.41m²,1LDK,8階,西,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F142594%252Frent%252F130464%252F1%252F1%252F0rsd.jpg&width=100&height=100
ロイヤルパークスタワー南千住,東京都荒川区南千住4丁目7番3号,JR常磐線(上野～取手) 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"22.6万円(15,000円)",0.5ヶ月,0.5ヶ月,57.57m²,2LDK,5階,東,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F142594%252Frent%252F130461%252F1%252F1%252Fh0em.jpg&width=100&height=100
ロイヤルパークスタワー南千住,東京都荒川区南千住4丁目7番3号,JR常磐線(上野～取手) 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住 517,"22.6万円(15,000円)",0.5ヶ月,0.5ヶ月,57.57m²,1SLK,7階,東,/img/?image=https%3A%2F%2Fimage4.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F128814%252Frent%252F283192%252F1%252F2%252F7blp.jpg&width=100&height=100
ロイヤルパークスタワー南千住,東京都荒川区南千住4丁目7番3号,JR常磐線(上野～取手) 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"22.6万円(14,000円)",1ヶ月,1ヶ月,51.41m²,1LDK,17階,東,/img/?image=https%3A%2F%2Fimage2.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F121222%252Frent%252F225944%252F1%252F2%252Fg38y.jpg&width=100&height=100
ロイヤルパークスタワー南千住,東京都荒川区南千住4丁目7番3号,JR常磐線(上野～取手) 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"23.1万円(15,000円)",1ヶ月,1ヶ月,57.57m²,1SLDK,11階,東,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F121222%252Frent%252F225970%252F1%252F2%252F19pr.jpg&width=100&height=100
ロイヤルパークスタワー南千住,東京都荒川区南千住4丁目7番3号,JR常磐線(上野～取手) 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"25.9万円(16,000円)",1ヶ月,1ヶ月,62.23m²,2LDK,10階,南,/img/?image=https%3A%2F%2Fimage4.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimage.homes.renters.jp%252Fd2f82bcc-4893-4125-b92a-485e8eb87411_property_picture_4104_large.jpg&width=100&height=100
ロイヤルパークスタワー南千住,東京都荒川区南千住4丁目7番3号,JR常磐線(上野～取手) 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"25.9万円(16,000円)",1ヶ月,1ヶ月,62.23m²,2LDK,17階,南,/img/?image=https%3A%2F%2Fimage1.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F121222%252Frent%252F225943%252F1%252F2%252Fyoaw.jpg&width=100&height=100
ロイヤルパークスタワー南千住,東京都荒川区南千住4丁目7番3号,JR常磐線(上野～取手) 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"26万円(15,000円)",1ヶ月,1ヶ月,65.08m²,1SLDK,17階,西,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F121222%252Frent%252F225979%252F1%252F2%252F06kt.jpg&width=100&height=100
ロイヤルパークスタワー南千住,東京都荒川区南千住4丁目7番3号,JR常磐線(上野～取手) 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"26万円(14,000円)",1ヶ月,1ヶ月,59.96m²,1SLDK,32階,東,/img/?image=https%3A%2F%2Fimage1.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F121222%252Frent%252F225973%252F1%252F2%252Fanmz.jpg&width=100&height=100
ロイヤルパークスタワー南千住,東京都荒川区南千住4丁目7番3号,JR常磐線(上野～取手) 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住・,"26.3万円(15,000円)",0.5ヶ月,0.5ヶ月,65.08m²,1SLDK,21階,東,/img/?image=https%3A%2F%2Fimage3.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F142594%252Frent%252F130463%252F1%252F1%252F3ca9.jpg&width=100&height=100
ロイヤルパークスタワー南千住,東京都荒川区南千住4丁目7番3号,JR常磐線(上野～取手) 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"26.7万円(14,000円)",0.5ヶ月,0.5ヶ月,59.96m²,1SLDK,37階,東,/img/?image=https%3A%2F%2Fimage4.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F142594%252Frent%252F130472%252F1%252F1%252Fsgmf.jpg&width=100&height=100
ロイヤルパークスタワー南千住,東京都荒川区南千住4丁目7番3号,JR常磐線(上野～取手) 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"26.7万円(16,000円)",1ヶ月,1ヶ月,62.23m²,2LDK,15階,南,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F121222%252Frent%252F225976%252F1%252F2%252F4jaj.jpg&width=100&height=100
ロイヤルパークスタワー南千住,東京都荒川区南千住4丁目7番3号,JR常磐線(上野～取手) 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"27.4万円(14,000円)",0.5ヶ月,0.5ヶ月,59.96m²,1SLDK,36階,東,/img/?image=https%3A%2F%2Fimage3.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F142594%252Frent%252F130471%252F1%252F1%252F7adb.jpg&width=100&height=100
ロイヤルパークスタワー南千住,東京都荒川区南千住4丁目7番3号,JR常磐線(上野～取手) 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"28.2万円(15,000円)",0.5ヶ月,0.5ヶ月,67.24m²,1SLDK,35階,西,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F142594%252Frent%252F130468%252F1%252F1%252Fb7bx.jpg&width=100&height=100
ロイヤルパークスタワー南千住,東京都荒川区南千住4丁目7番3号,JR常磐線(上野～取手) 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"28.3万円(15,000円)",0.5ヶ月,0.5ヶ月,67.24m²,1SLDK,34階,西,/img/?image=https%3A%2F%2Fimage4.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F142594%252Frent%252F130382%252F1%252F1%252Frv0o.jpg&width=100&height=100
ロイヤルパークスタワー南千住,東京都荒川区南千住4丁目7番3号,JR常磐線(上野～取手) 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"33.7万円(20,000円)",1ヶ月,1ヶ月,80.05m²,3LDK,35階,南,/img/?image=https%3A%2F%2Fimage4.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimage.homes.renters.jp%252F4c5e0e58-4ffe-4f8a-8b88-0bb8fb8db297_property_picture_4104_large.jpg&width=100&height=100
ロイヤルパークスタワー南千住,東京都荒川区南千住4丁目7番3号,JR常磐線(上野～取手) 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"33.9万円(20,000円)",0.5ヶ月,0.5ヶ月,80.05m²,3LDK,35階,南,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F142594%252Frent%252F130380%252F1%252F1%252Fsode.jpg&width=100&height=100
RoyalParksTower,東京都荒川区南千住4丁目7番3号,東京メトロ日比谷線 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住 804,"16.9万円(11,000円)",0.5ヶ月,0.5ヶ月,37.14m²,ワンルーム,8階,西,/img/?image=https%3A%2F%2Fimage2.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F127689%252Frent%252F165313%252F1%252F1%252Fux8j.jpg&width=100&height=100
RoyalParksTower,東京都荒川区南千住4丁目7番3号,東京メトロ日比谷線 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"16.9万円(11,000円)",0.5ヶ月,0.5ヶ月,37.14m²,1K,7階,東,/img/?image=https%3A%2F%2Fimage1.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F142594%252Frent%252F130462%252F1%252F1%252Fh628.jpg&width=100&height=100
RoyalParksTower,東京都荒川区南千住4丁目7番3号,東京メトロ日比谷線 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"17.2万円(11,000円)",0.5ヶ月,0.5ヶ月,37.14m²,1K,11階,西,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F147375%252Frent%252F62536%252F1%252F1%252Fd6m2.jpg&width=100&height=100
RoyalParksTower,東京都荒川区南千住4丁目7番3号,東京メトロ日比谷線 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"17.3万円(11,000円)",0.5ヶ月,0.5ヶ月,37.14m²,ワンルーム,10階,東,/img/?image=https%3A%2F%2Fimage2.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F5051%252Frent%252F205629%252F1%252F1%252Fte3j.jpg&width=100&height=100
RoyalParksTower,東京都荒川区南千住4丁目7番3号,東京メトロ日比谷線 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"17.4万円(11,000円)",1ヶ月,1ヶ月,37.14m²,1K,13階,東,/img/?image=https%3A%2F%2Fimage3.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F121222%252Frent%252F225985%252F1%252F2%252Fgz7y.jpg&width=100&height=100
RoyalParksTower,東京都荒川区南千住4丁目7番3号,東京メトロ日比谷線 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"20万円(13,000円)",0.5ヶ月,0.5ヶ月,51.41m²,1LDK,16階,西,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F121222%252Frent%252F225981%252F1%252F2%252Fyrpg.jpg&width=100&height=100
RoyalParksTower,東京都荒川区南千住4丁目7番3号,東京メトロ日比谷線 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"20.3万円(13,000円)",1ヶ月,1ヶ月,45.25m²,1LDK,11階,東,/img/?image=https%3A%2F%2Fimage4.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F121222%252Frent%252F225974%252F1%252F2%252Fh4el.jpg&width=100&height=100
RoyalParksTower,東京都荒川区南千住4丁目7番3号,東京メトロ日比谷線 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"20.5万円(13,000円)",1ヶ月,1ヶ月,45.25m²,1LDK,20階,西,/img/?image=https%3A%2F%2Fimage4.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F121222%252Frent%252F225978%252F1%252F2%252Fi0q1.jpg&width=100&height=100
RoyalParksTower,東京都荒川区南千住4丁目7番3号,東京メトロ日比谷線 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"21.6万円(13,000円)",1ヶ月,1ヶ月,51.41m²,1LDK,4階,西,/img/?image=https%3A%2F%2Fimage3.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F121222%252Frent%252F225977%252F1%252F2%252F9ad2.jpg&width=100&height=100
RoyalParksTower,東京都荒川区南千住4丁目7番3号,東京メトロ日比谷線 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"21.9万円(13,000円)",1ヶ月,1ヶ月,49.3m²,1LDK,11階,東,/img/?image=https%3A%2F%2Fimage1.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F121222%252Frent%252F225972%252F1%252F2%252Fyo86.jpg&width=100&height=100
RoyalParksTower,東京都荒川区南千住4丁目7番3号,東京メトロ日比谷線 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"22.1万円(13,000円)",0.5ヶ月,0.5ヶ月,51.41m²,1LDK,8階,西,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F142594%252Frent%252F130464%252F1%252F1%252F0rsd.jpg&width=100&height=100
RoyalParksTower,東京都荒川区南千住4丁目7番3号,東京メトロ日比谷線 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"22.6万円(15,000円)",0.5ヶ月,0.5ヶ月,57.57m²,2LDK,5階,東,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F142594%252Frent%252F130461%252F1%252F1%252Fh0em.jpg&width=100&height=100
RoyalParksTower,東京都荒川区南千住4丁目7番3号,東京メトロ日比谷線 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住 517,"22.6万円(15,000円)",0.5ヶ月,0.5ヶ月,57.57m²,1SLK,7階,東,/img/?image=https%3A%2F%2Fimage4.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F128814%252Frent%252F283192%252F1%252F2%252F7blp.jpg&width=100&height=100
RoyalParksTower,東京都荒川区南千住4丁目7番3号,東京メトロ日比谷線 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"22.6万円(14,000円)",1ヶ月,1ヶ月,51.41m²,1LDK,17階,東,/img/?image=https%3A%2F%2Fimage2.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F121222%252Frent%252F225944%252F1%252F2%252Fg38y.jpg&width=100&height=100
RoyalParksTower,東京都荒川区南千住4丁目7番3号,東京メトロ日比谷線 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"23.1万円(15,000円)",1ヶ月,1ヶ月,57.57m²,1SLDK,11階,東,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F121222%252Frent%252F225970%252F1%252F2%252F19pr.jpg&width=100&height=100
RoyalParksTower,東京都荒川区南千住4丁目7番3号,東京メトロ日比谷線 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"25.9万円(16,000円)",1ヶ月,1ヶ月,62.23m²,2LDK,10階,南,/img/?image=https%3A%2F%2Fimage4.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimage.homes.renters.jp%252Fd2f82bcc-4893-4125-b92a-485e8eb87411_property_picture_4104_large.jpg&width=100&height=100
RoyalParksTower,東京都荒川区南千住4丁目7番3号,東京メトロ日比谷線 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"25.9万円(16,000円)",1ヶ月,1ヶ月,62.23m²,2LDK,17階,南,/img/?image=https%3A%2F%2Fimage1.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F121222%252Frent%252F225943%252F1%252F2%252Fyoaw.jpg&width=100&height=100
RoyalParksTower,東京都荒川区南千住4丁目7番3号,東京メトロ日比谷線 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"26万円(15,000円)",1ヶ月,1ヶ月,65.08m²,1SLDK,17階,西,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F121222%252Frent%252F225979%252F1%252F2%252F06kt.jpg&width=100&height=100
RoyalParksTower,東京都荒川区南千住4丁目7番3号,東京メトロ日比谷線 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"26万円(14,000円)",1ヶ月,1ヶ月,59.96m²,1SLDK,32階,東,/img/?image=https%3A%2F%2Fimage1.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F121222%252Frent%252F225973%252F1%252F2%252Fanmz.jpg&width=100&height=100
RoyalParksTower,東京都荒川区南千住4丁目7番3号,東京メトロ日比谷線 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住・,"26.3万円(15,000円)",0.5ヶ月,0.5ヶ月,65.08m²,1SLDK,21階,東,/img/?image=https%3A%2F%2Fimage3.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F142594%252Frent%252F130463%252F1%252F1%252F3ca9.jpg&width=100&height=100
RoyalParksTower,東京都荒川区南千住4丁目7番3号,東京メトロ日比谷線 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"26.7万円(14,000円)",0.5ヶ月,0.5ヶ月,59.96m²,1SLDK,37階,東,/img/?image=https%3A%2F%2Fimage4.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F142594%252Frent%252F130472%252F1%252F1%252Fsgmf.jpg&width=100&height=100
RoyalParksTower,東京都荒川区南千住4丁目7番3号,東京メトロ日比谷線 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"26.7万円(16,000円)",1ヶ月,1ヶ月,62.23m²,2LDK,15階,南,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F121222%252Frent%252F225976%252F1%252F2%252F4jaj.jpg&width=100&height=100
RoyalParksTower,東京都荒川区南千住4丁目7番3号,東京メトロ日比谷線 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"27.4万円(14,000円)",0.5ヶ月,0.5ヶ月,59.96m²,1SLDK,36階,東,/img/?image=https%3A%2F%2Fimage3.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F142594%252Frent%252F130471%252F1%252F1%252F7adb.jpg&width=100&height=100
RoyalParksTower,東京都荒川区南千住4丁目7番3号,東京メトロ日比谷線 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"28.2万円(15,000円)",0.5ヶ月,0.5ヶ月,67.24m²,1SLDK,35階,西,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F142594%252Frent%252F130468%252F1%252F1%252Fb7bx.jpg&width=100&height=100
RoyalParksTower,東京都荒川区南千住4丁目7番3号,東京メトロ日比谷線 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"28.3万円(15,000円)",0.5ヶ月,0.5ヶ月,67.24m²,1SLDK,34階,西,/img/?image=https%3A%2F%2Fimage4.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F142594%252Frent%252F130382%252F1%252F1%252Frv0o.jpg&width=100&height=100
RoyalParksTower,東京都荒川区南千住4丁目7番3号,東京メトロ日比谷線 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"33.7万円(20,000円)",1ヶ月,1ヶ月,80.05m²,3LDK,35階,南,/img/?image=https%3A%2F%2Fimage4.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimage.homes.renters.jp%252F4c5e0e58-4ffe-4f8a-8b88-0bb8fb8db297_property_picture_4104_large.jpg&width=100&height=100
RoyalParksTower,東京都荒川区南千住4丁目7番3号,東京メトロ日比谷線 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"33.9万円(20,000円)",0.5ヶ月,0.5ヶ月,80.05m²,3LDK,35階,南,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F142594%252Frent%252F130380%252F1%252F1%252Fsode.jpg&width=100&height=100
